InputID,TargetID,Distance,Distance(km)
44586,44580,0.421483776,46.91957397
40078,40781,0.12638895,14.06961796
45053,45117,0.185740398,20.67662113
44367,44379,0.10069711,11.20960231
40084,40088,0.219316628,24.41432701
200279,200281,0.400650185,44.60037855
41795,41804,0.520348557,57.92520139
45058,45117,0.071121748,7.917272994
95641,95627,0.123329683,13.72906033
200281,200279,0.400650185,44.60037855
40088,40084,0.219316628,24.41432701
200284,200269,0.755073805,84.05481593
95646,95591,0.257962459,28.71638094
45064,85216,0.18862958,20.99824489
44379,44367,0.10069711,11.20960231
41804,41795,0.520348557,57.92520139
200289,200279,0.578181032,64.36311247
44384,44385,0.18563596,20.66499508
44385,44384,0.18563596,20.66499508
40100,40084,0.550906471,61.32690834
43583,43482,0.259877089,28.92951753
83158,83173,0.142708862,15.88635056
45076,45122,0.127903195,14.23818365
43000,43031,0.49855427,55.49906137
44621,44580,0.834654204,92.91370595
44392,44337,0.132146021,14.71049501
83164,83034,0.196456095,21.86949246
70628,95285,0.161736182,18.00447184
83166,83173,0.378658332,42.15224549
83167,83170,0.017891833,1.991718837
43594,43709,0.272253722,30.30728428
41821,41955,0.163107556,18.15713313
83168,83099,0.196938123,21.92315182
82003,82008,0.101502969,11.2993105
83169,83172,0.369426389,41.12454557
83169,83171,0.369426389,41.12454557
83170,83167,0.017891833,1.991718837
95675,95126,0.343835392,38.27575584
45087,45100,0.271484553,30.22166046
83173,83158,0.142708862,15.88635056
82008,82003,0.101502969,11.2993105
41829,41821,0.412216004,45.88788556
83175,82289,0.108316455,12.05778781
43602,43583,0.424760544,47.28434379
41840,41882,0.258964161,28.82789038
82015,82024,0.139929315,15.57693139
40126,40078,0.50636959,56.36906278
43021,41341,0.211848095,23.58292998
45098,45127,0.261364224,29.09506547
45100,45153,0.101965779,11.35083057
41838,41781,0.050574437,5.629946285
70203,70414,0.345554525,38.46712977
200326,200169,0.773880065,86.14832883
41850,41689,0.388448892,43.24213068
82024,82015,0.139929315,15.57693139
45106,85706,0.199004887,22.15322398
43618,43583,0.566267718,63.03692236
43031,43021,0.255150065,28.40330526
95699,95709,0.298768399,33.25889816
82032,82063,0.272744357,30.36190187
45113,45028,0.147435494,16.41251922
45117,45058,0.071121748,7.917272994
44661,44679,0.511750058,56.96801646
45118,45117,0.17896982,19.92292037
45119,45038,0.098646891,10.9813719
95709,95699,0.298768399,33.25889816
82040,82047,0.231771801,25.80083689
45121,45022,0.052129576,5.803064351
43046,43053,0.103059497,11.47258323
45122,45076,0.127903195,14.23818365
45123,45332,0.094507043,10.52052405
45124,45157,0.098550913,10.97068766
43049,43057,0.266851707,29.70593203
45127,45121,0.20045672,22.31484203
95716,95729,0.162922903,18.13657751
44671,44539,0.350091229,38.9721556
82047,82070,0.200048145,22.26935956
43053,43046,0.103059497,11.47258323
41877,41840,0.333243395,37.09665476
43057,43049,0.266851707,29.70593203
82053,82063,0.209752453,23.34964304
44679,44661,0.511750058,56.96801646
41882,41840,0.258964161,28.82789038
95724,95729,0.088463925,9.847804128
40404,40426,0.344857164,38.38949953
41886,41804,1.032127997,114.8964886
82058,82063,0.10694956,11.90562503
95729,95724,0.088463925,9.847804128
70249,70418,0.173924013,19.36122116
82061,44352,0.247976396,27.60473239
43068,43134,0.332896214,37.05800654
82063,82058,0.10694956,11.90562503
45146,45106,0.200155905,22.28135539
43071,43243,0.292929532,32.60891556
41900,41906,0.220332476,24.5274112
82070,82047,0.200048145,22.26935956
45153,45100,0.101965779,11.35083057
82072,82082,0.09340592,10.39794696
45157,45124,0.098550913,10.97068766
40426,40404,0.344857164,38.38949953
41906,41900,0.220332476,24.5274112
82077,82072,0.214242761,23.84950413
41907,41906,0.266773124,29.69718419
43084,43092,0.444319914,49.46169278
43676,43696,0.282038295,31.39650303
82082,82072,0.09340592,10.39794696
82085,82175,0.232044549,25.83119914
43092,43130,0.281379502,31.32316617
82091,82102,0.214759978,23.90708075
40443,40451,0.403253156,44.89014136
43099,43115,0.093953876,10.45894546
45178,45269,0.143278926,15.94981002
43102,41377,0.357016239,39.7430477
45180,45269,0.149176069,16.60627995
